id,predict
X1001000173.B4,1
X1001000173.A2,0
X1001000173.F6,0
X1001000173.D6,1
X1001000173.H1,1
X1001000173.B6,0
X1001000173.C2,1
X1001000173.F4,1
X1001000173.E10,0
X1001000173.C4,1
X1001000173.B8,0
X1001000173.F9,0
X1001000173.D2,1
X1001000173.F2,1
X1001000173.G1,0
X1001000173.B3,1
X1001000173.A12,0
X1001000173.H7,0
X1001000173.G2,0
X1001000173.G12,1
X1001000173.C3,1
X1001000173.D11,0
X1001000173.A5,0
X1001000173.G9,0
X1001000173.E12,1
X1001000173.F11,1
X1001000173.E5,1
X1001000173.F8,0
X1001000173.B2,0
X1001000173.D1,0
X1001000174.H9,0
X1001000174.G10,0
X1001000174.F6,0
X1001000174.B4,0
X1001000174.H7,0
X1001000174.E10,1
X1001000174.D5,0
X1001000174.F10,0
X1001000174.A5,0
X1001000174.B8,0
X1001000174.F2,1
X1001000174.F9,1
X1001000174.C10,0
X1001000174.B6,0
X1001000174.D8,0
X1001000174.H6,1
X1001000174.C3,0
X1001000174.B7,1
X1001000174.A7,0
X1001000174.H10,0
X1001000174.E4,0
X1001000174.H4,0
X1001000174.C5,0
X1001000174.E9,0
X1001000174.G4,1
X1001000174.D4,1
X1001000174.B3,0
X1001000174.F5,0
X1001000174.G6,1
X1001000174.G3,0
X1001000174.F1,1
X1001000174.H8,0
X1001000174.G8,0
X1001000174.B5,0
X1001000174.E11,0
X1001000174.E8,1
X1001000174.E7,1
X1001000174.B1,1
X1001000174.D7,0
X1001000174.D2,0
X1001000174.D10,1
X1001000174.H5,0
X1001000175.E1,0
X1001000175.A3,0
X1001000175.C11,1
X1001000175.F3,1
X1001000175.H4,1
X1001000175.D2,1
X1001000175.C1,1
X1001000175.E8,1
X1001000175.F6,0
X1001000175.C7,0
X1001000175.A11,0
X1001000175.A7,0
X1001000175.H5,0
X1001000175.F8,0
X1001000175.A5,1
X1001000175.A9,0
X1001000175.H7,1
X1001000175.B8,0
X1001000175.B1,0
X1001000175.B12,1
X1001000175.F11,1
X1001000175.G9,0
X1001000175.E7,1
X1001000175.G1,0
X1001000175.A2,0
X1001000175.H1,0
X1001000175.E11,0
X1001000175.B10,1
X1001000175.E2,0
X1001000175.C12,1
X1001000175.G10,0
X1001000175.F2,0
X1001000175.C8,0
X1001000175.B7,0
X1001000175.D8,1
X1001000175.F10,1
X1001000175.E9,0
X1001000175.F7,1
X1001000175.G3,1
X1001000175.C6,1
X1001000175.E12,0
X1001000175.A12,0
X1001000175.A1,0
X1001000175.A8,1
X1001000176.A7,1
X1001000176.B9,0
X1001000176.D9,0
X1001000176.G5,0
X1001000176.H3,0
X1001000176.A9,1
X1001000176.G2,0
X1001000176.F10,1
X1001000176.F1,1
X1001000176.D7,0
X1001000176.C9,1
X1001000176.A5,0
X1001000176.D4,1
X1001000176.F2,0
X1001000176.A10,0
X1001000176.C2,0
X1001000176.E8,0
X1001000176.E11,1
X1001000176.E3,1
X1001000176.B5,0
X1001000176.D5,0
X1001000176.B10,1
X1001000176.B12,0
X1001000176.E7,0
X1001000176.H7,1
X1001000176.G8,0
X1001000176.A12,0
X1001000176.C12,0
X1001000176.A8,0
X1001000176.G7,0
X1001000176.D10,1
X1001000176.F5,1
X1001000176.A3,0
X1001000176.H11,0
X1001000176.C5,0
X1001000176.A1,0
X1001000176.C1,0
X1001000176.F7,0
X1001000176.B8,0
X1001000176.C11,0
X1001000176.D1,0
X1001000176.G4,0
X1001000176.A11,0
X1001000176.C3,0
X1001000176.E10,0
X1001000176.G1,0
X1001000176.E2,0
X1001000176.F9,1
X1001000176.B1,0
X1001000176.H4,0
X1001000176.A4,0
X1001000176.C8,0
X1001000176.C4,1
X1001000176.B11,0
X1001000176.H1,0
X1001000176.E9,1
X1001000176.D2,0
X1001000176.B4,0
X1001000176.F11,0
X1001000176.F4,0
X1001000176.H10,0
X1001000176.D12,0
X1001000176.C10,0
X1001000176.E4,0
X1001000176.B2,1
X1001000176.A2,0
X1001000177.G9,0
X1001000177.B6,1
X1001000177.A8,0
X1001000177.D6,0
X1001000177.E11,0
X1001000177.G6,0
X1001000177.B10,1
X1001000177.A6,1
X1001000177.A10,1
X1001000177.A2,0
X1001000177.C1,1
X1001000177.B7,0
X1001000177.D7,1
X1001000177.F2,0
X1001000177.G8,0
X1001000177.B12,0
X1001000177.A12,0
X1001000177.E7,0
X1001000177.H1,0
X1001000177.F3,0
X1001000177.C3,0
X1001000177.D10,0
X1001000177.C6,0
X1001000177.F5,0
X1001000177.B4,0
X1001000177.E1,1
X1001000177.F11,0
X1001000177.H3,0
X1001000177.G2,0
X1001000177.A3,1
X1001000177.H7,0
X1001000177.D1,0
X1001000177.D4,0
X1001000177.H11,0
X1001000177.F7,1
X1001000177.G4,0
X1001000177.H2,0
X1001000177.B11,1
X1001000177.H10,0
X1001000177.G5,0
X1001000177.E12,0
X1001000177.A7,0
X1001000177.E6,0
X1001000177.F12,1
X1001000177.B8,1
X1001000177.D3,0
X1001000177.B2,1
X1001000177.F4,0
X1001000177.G7,1
X1001000177.A11,0
X1001000177.E8,0
X1001000177.D12,1
X1001000177.D8,1
X1001000177.D5,0
X1001000177.E10,0
X1001000177.F10,0
X1001000177.A4,0
X1001000177.C9,0
X1001000177.H6,0
X1001000177.C11,0
X1001000177.E2,0
X1001000177.B9,0
X1001000177.C5,0
X1001000177.E4,0
X1001000177.G3,0
X1001000177.A5,0
X1001000177.G1,0
X1001000177.D2,0
X1001000177.H8,0
X1001000177.F8,0
X1001000177.C7,1
X1001000178.F4,0
X1001000179.H7,0
X1001000179.D9,0
X1001000179.B8,0
X1001000179.E12,0
X1001000179.A6,0
X1001000180.E10,0
X1001000180.D2,0
X1001000180.A8,0
X1001000180.D8,0
X1001000180.H9,0
X1001000180.G11,0
X1001000180.H11,0
X1001000180.E1,0
X1001000180.D11,0
X1001000180.B3,0
X1001000180.A4,0
X1001000180.F10,0
X1001000180.G1,0
X1001000180.A9,0
X1001000181.A5,0
X1001000181.E1,0
X1001000181.B5,0
X1001000181.D10,0
X1001000181.E3,0
X1001000181.D2,0
X1001000181.F10,0
X1001000181.C11,0
X1001000181.C6,0
X1001000181.D7,0
X1001000181.F6,0
X1001000181.A11,0
X1001000181.E12,0
X1001000181.B4,0
X1001000181.G8,0
X1001000181.F2,0
X1001000181.D1,0
X1001000181.A9,0
X1001000181.C7,0
X1001000182.F4,0
X1001000182.E6,0
X1001000182.C3,0
X1001000182.C12,0
X1001000182.D10,0
X1001000182.A5,1
X1001000182.E8,1
X1001000182.F6,1
X1001000182.A7,1
X1001000182.B10,0
X1001000182.H3,0
X1001000182.E2,0
X1001000182.A9,0
X1001000182.B8,1
X1001000182.F1,1
X1001000182.E5,0
X1001000182.B11,0
X1001000182.D2,0
X1001000182.A2,0
X1001000182.C4,0
X1001000182.E7,0
X1001000182.F5,0
X1001000182.B5,1
X1001000182.F10,0
X1001000182.C11,1
X1001000182.A4,0
X1001000182.F11,1
X1001000182.H1,0
X1001000182.C5,1
X1001000182.H4,0
X1001000182.E1,1
X1001000182.E9,0
X1001000182.A6,0
X1001000182.G7,0
X1001000182.E12,0
X1001000182.D3,1
X1001000182.G6,0
X1001000182.A8,1
X1001000183.A3,0
X1001000183.C6,0
X1001000183.B8,1
X1001000183.F6,1
X1001000183.F11,1
X1001000183.G11,0
X1001000183.G2,0
X1001000183.E8,1
X1001000183.C11,0
X1001000183.H11,0
X1001000183.B12,0
X1001000183.B4,0
X1001000183.H9,0
X1001000183.H2,1
X1001000183.G8,0
X1001000183.E6,0
X1001000183.E12,0
X1001000183.C2,1
X1001000183.C4,0
X1001000183.C9,1
X1001000183.B11,0
X1001000183.D2,0
X1001000183.A12,1
X1001000183.A8,1
X1001000183.H7,0
X1001000183.D10,0
X1001000183.A1,1
X1001000183.F12,1
X1001000183.D7,0
X1001000183.C7,1
X1001000183.E7,0
X1001000183.G7,0
X1001000183.A4,0
X1001000183.E5,1
X1001000183.B3,0
X1001000183.B10,1
X1001000183.F7,0
X1001000183.D6,0
X1001000183.A2,0
X1001000183.E2,1
X1001000183.G5,1
X1001000183.A11,1
X1001000183.C3,1
X1001000184.B8,1
X1001000184.A11,0
X1001000184.B2,1
X1001000184.B9,1
X1001000184.C1,1
X1001000184.A8,0
X1001000184.B10,0
X1001000184.A9,1
X1001000184.A5,1
X1001000184.B5,1
X1001000184.A2,1
X1001000184.A3,1
X1001000184.D9,0
X1001000184.G11,1
X1001000184.F6,1
X1001000184.D7,1
X1001000184.G5,1
X1001000184.C5,0
X1001000184.H4,0
X1001000184.E3,1
X1001000184.D5,0
X1001000184.C3,0
X1001000184.H10,0
X1001000184.E8,0
X1001000184.D10,0
X1001000184.E5,0
X1001000184.D3,1
X1001000184.F1,1
X1001000184.F9,0
X1001000184.H9,1
X1001000184.H2,0
X1001000184.D1,1
X1001000184.C10,0
X1001000184.G4,0
X1001000184.C6,0
X1001000184.F7,0
X1001000184.E12,0
X1001000184.D12,0
X1001000184.H11,1
X1001000184.H3,0
X1001000184.H6,0
X1001000184.G6,1
X1001000184.F5,0
X1001000184.C8,0
X1001000184.D4,0
X1001000184.E11,1
X1001000184.F2,1
X1001000184.H7,1
X1001000184.F8,0
X1001000184.G2,1
X1001000184.D2,1
X1001000184.C12,1
X1001000184.E6,0
X1001000184.D11,0
X1001000184.E9,0
X1001000184.G3,1
X1001000185.F9,0
X1001000185.C9,0
X1001000185.G6,1
X1001000185.G11,1
X1001000185.C7,0
X1001000185.A5,0
X1001000185.D5,0
X1001000185.A7,0
X1001000185.B12,0
X1001000185.F12,1
X1001000185.D3,1
X1001000185.B9,0
X1001000185.F4,0
X1001000185.C5,0
X1001000185.G2,0
X1001000185.B7,1
X1001000185.A1,0
X1001000185.E3,1
X1001000185.B5,1
X1001000185.E8,0
X1001000185.A3,1
X1001000185.D9,1
X1001000185.G5,0
X1001000185.D7,1
X1001000185.B8,0
X1001000185.C8,0
X1001000185.A4,0
X1001000185.G7,0
X1001000185.C1,0
X1001000185.H2,0
X1001000185.G12,1
X1001000185.E10,0
X1001000185.B6,0
X1001000185.E4,0
X1001000185.F1,1
